Participant,Stimulus_Name,Valence,Arousal,IBI RMSSD,IBI SDNN
group33_v5_10,A1_LP,0.212979,-0.176462,94.90545401,52.22928106
group33_v5_10,A2_LP,0.254343,-0.055548,56.20115066,33.77268841
group33_v5_10,A3_LP,0.181181,0.225131,94.82886175,75.56571942
group33_v5_10,A4_LP,0.257238,-0.061238,109.7000379,69.79215252
group33_v5_10,A_HN,-0.349531,0.100043,190.2468072,74.09907443
group33_v5_10,B_HN,-0.398862,0.184648,71.35878287,41.52025723
group33_v5_10,C_LN,-0.17898,-0.270629,54.40776671,35.29486562
group33_v5_10,F_HN,-0.173052,0.304583,121.462213,79.85957062
group33_v5_10,G_HP,0.206703,0.290404,94.72152854,63.46905004
group33_v5_10,H_HP,0.233916,0.32599,82.67972847,62.97649991
group33_v5_10,J_Ne,0.081014,-0.265172,111.1890731,52.35749601
group33_v5_10,K_Ne,0.057969,-0.30365,113.6174967,82.49496907
group33_v5_10,M_LN,-0.23871,-0.16823,63.83784483,35.75594899
group33_v5_10,N_LN,-0.276577,-0.1159,106.9612124,77.43717274
group33_v5_10,O_LN,-0.202905,-0.262467,87.47732686,50.69666935
group33_v5_10,P_HP,0.205452,0.320557,69.76785586,51.67483029
group33_v5_10,Q_HP,0.243967,0.317269,132.1213635,93.09668194
group33_v5_10,U_Ne,0.129812,-0.230285,79.6721799,39.49063842
group33_v5_10,V_Ne,0.088703,-0.246889,98.75939433,48.66378594
group33_v5_10,W_HN,-0.334685,0.08787,101.3368888,58.59013299
group33_v5_11,A1_LP,0.165528,-0.290194,60.00895116,24.70529422
group33_v5_11,A2_LP,0.197676,-0.09135,28.99877272,15.81672496
group33_v5_11,A3_LP,0.140814,0.370231,30.42531626,20.87398378
group33_v5_11,A4_LP,0.199926,-0.100707,95.12340361,48.1594844
group33_v5_11,A_HN,-0.271656,0.164521,31.14130402,18.33221535
group33_v5_11,B_HN,-0.309996,0.303655,39.23572701,24.82699591
group33_v5_11,C_LN,-0.139104,-0.445052,42.11993046,25.74834811
group33_v5_11,F_HN,-0.134496,0.500889,33.79688377,21.98405759
group33_v5_11,G_HP,0.16065,0.477573,63.50910624,38.9919067
group33_v5_11,H_HP,0.1818,0.536095,52.64025165,31.48350262
group33_v5_11,J_Ne,0.062964,-0.436078,21.46014905,12.0529565
group33_v5_11,K_Ne,0.045054,-0.499355,39.3737599,31.63821364
group33_v5_11,M_LN,-0.185526,-0.276657,43.93446047,21.90201318
group33_v5_11,N_LN,-0.214956,-0.1906,26.53774299,15.36864405
group33_v5_11,O_LN,-0.157698,-0.431629,30.97754493,18.64299618
group33_v5_11,P_HP,0.159678,0.527159,49.75253431,18.93873631
group33_v5_11,Q_HP,0.189612,0.521752,50.80270838,27.96866984
group33_v5_11,U_Ne,0.10089,-0.378706,35.1128204,18.75
group33_v5_11,V_Ne,0.06894,-0.406011,46.94005902,31.10317068
group33_v5_11,W_HN,-0.260118,0.144503,26.98801335,16.50310366
group33_v5_12,A1_LP,0.175184,-0.207184,82.63357735,61.07225435
group33_v5_12,A2_LP,0.209207,-0.065219,63.87985724,31.0901524
group33_v5_12,A3_LP,0.149028,0.264327,122.2849675,65.10091138
group33_v5_12,A4_LP,0.211588,-0.0719,82.26343628,52.32589189
group33_v5_12,A_HN,-0.287503,0.11746,118.5559975,72.57039378
group33_v5_12,B_HN,-0.328079,0.216795,126.0938468,91.0434693
group33_v5_12,C_LN,-0.147218,-0.317745,93.42391206,60.216165
group33_v5_12,F_HN,-0.142342,0.35761,66.13763073,51.36219511
group33_v5_12,G_HP,0.170021,0.340963,61.92771849,33.50177169
group33_v5_12,H_HP,0.192405,0.382745,22.77715584,13.99724443
group33_v5_12,J_Ne,0.066637,-0.311338,138.5663845,55.52969437
group33_v5_12,K_Ne,0.047682,-0.356515,105.2515124,65.94508991
group33_v5_12,M_LN,-0.196348,-0.197519,60.12619441,37.65492836
group33_v5_12,N_LN,-0.227495,-0.136079,72.57039378,52.3840701
group33_v5_12,O_LN,-0.166897,-0.308162,52.95306303,36.7302228
group33_v5_12,P_HP,0.168993,0.376365,72.2392266,31.84013105
group33_v5_12,Q_HP,0.200673,0.372505,160.8421181,61.93945056
group33_v5_12,U_Ne,0.106775,-0.270377,79.48042949,49.10080113
group33_v5_12,V_Ne,0.072961,-0.289872,80.65112395,44.94872894
group33_v5_12,W_HN,-0.275292,0.103168,36.59178515,22.56155284
group33_v5_13,A1_LP,0.181805,-0.229734,145.3628945,100.8508723
group33_v5_13,A2_LP,0.217114,-0.072318,143.8009421,65.28932005
group33_v5_13,A3_LP,0.154661,0.293095,135.8416808,93.06025201
group33_v5_13,A4_LP,0.219585,-0.079725,132.4289806,90.84772678
group33_v5_13,A_HN,-0.298369,0.130244,136.5991186,75.49792199
group33_v5_13,B_HN,-0.340479,0.24039,82.26343628,44.26963655
group33_v5_13,C_LN,-0.152783,-0.352328,127.3701085,87.88975694
group33_v5_13,F_HN,-0.147721,0.396532,157.9152335,90.42245134
group33_v5_13,G_HP,0.176447,0.378073,61.96056268,33.15483621
group33_v5_13,H_HP,0.199677,0.424402,178.6899718,48.87832241
group33_v5_13,J_Ne,0.069155,-0.345224,119.5933594,75.33602067
group33_v5_13,K_Ne,0.049484,-0.395318,79.6721799,56.42334402
group33_v5_13,M_LN,-0.203769,-0.219017,166.0347722,89.64118502
group33_v5_13,N_LN,-0.236093,-0.150889,101.795939,35.28194693
group33_v5_13,O_LN,-0.173205,-0.341702,104.4791986,61.12106796
group33_v5_13,P_HP,0.17538,0.417329,83.73924579,46.79455546
group33_v5_13,Q_HP,0.208257,0.413048,147.695514,76.13079822
group33_v5_13,U_Ne,0.110811,-0.299805,131.2406991,52.43113042
group33_v5_13,V_Ne,0.075719,-0.321421,137.1088186,85.20193012
group33_v5_13,W_HN,-0.285696,0.114396,57.50648432,35.22612718
group33_v5_14,A1_LP,0.15109,-0.280736,0,0
group33_v5_14,A2_LP,0.180434,-0.088372,0,0
group33_v5_14,A3_LP,0.128532,0.358163,23.4375,0
group33_v5_14,A4_LP,0.182488,-0.097425,23.4375,0
group33_v5_14,A_HN,-0.247962,0.159159,0,0
group33_v5_14,B_HN,-0.282957,0.293758,84.32434822,19.53125
group33_v5_14,C_LN,-0.126971,-0.430546,177.0354562,142.1896463
group33_v5_14,F_HN,-0.122765,0.484563,23.4375,0
group33_v5_14,G_HP,0.146638,0.462006,32.4813219,22.48821616
group33_v5_14,H_HP,0.165943,0.518621,0,0
group33_v5_14,J_Ne,0.057472,-0.421864,31.41233875,19.35686035
group33_v5_14,K_Ne,0.041124,-0.483079,7.8125,0
group33_v5_14,M_LN,-0.169344,-0.267639,0,0
