Participant,Stimulus_Name,Valence,Arousal,ibi mean normalize,ibi min normalize,ibi max normalize,ibi skew normalize,ibi kurtosis normalize,ibi std normalize
group33_v5_10,A1_LP,0.212979,-0.176462,0.07515429,-0.142492,0.33390129,0.03316549,-0.4626187,0.10746173
group33_v5_10,A2_LP,0.254343,-0.055548,0.06883732,-0.1615478,0.28626196,0.19438655,-0.7915569,0.10518529
group33_v5_10,A3_LP,0.181181,0.225131,0.1722126,-0.4664395,0.44823569,-1.371316,1.64016525,0.21303976
group33_v5_10,A4_LP,0.257238,-0.061238,0.13932345,-0.1615478,0.38154062,-0.2323875,-0.7614229,0.12470606
group33_v5_10,A_HN,-0.349531,0.100043,0.13020126,-0.1996592,0.44823569,-0.0301705,-0.8022148,0.15438545
group33_v5_10,B_HN,-0.398862,0.184648,0.08394119,-0.1329642,0.27673409,0.00770683,-1.0350726,0.09937846
group33_v5_10,C_LN,-0.17898,-0.270629,0.14617803,-0.1615478,0.35295702,-0.7581407,-0.0464843,0.11478553
group33_v5_10,F_HN,-0.173052,0.304583,-0.0874428,-0.2282428,0.06712103,-0.0482149,-1.4000488,0.0930991
group33_v5_10,G_HP,0.206703,0.290404,-0.0713161,-0.2377707,0.11476036,0.23914641,-0.9623937,0.09066246
group33_v5_10,H_HP,0.233916,0.32599,-0.0388365,-0.2377707,0.25665294,0.24679361,-0.7173632,0.11246892
group33_v5_10,J_Ne,0.081014,-0.265172,-0.0215092,-0.2663543,0.28626196,0.19459882,-1.1007965,0.13522914
group33_v5_10,K_Ne,0.057969,-0.30365,-0.0087605,-0.2377707,0.23862263,0.38204198,-0.6144614,0.11971518
group33_v5_10,M_LN,-0.23871,-0.16823,0.03231758,-0.1037912,0.23862263,0.55816433,-0.2210677,0.06834751
group33_v5_10,N_LN,-0.276577,-0.1159,0.08613554,-0.2091871,0.29578982,-0.4637926,-0.7258328,0.11901861
group33_v5_10,O_LN,-0.202905,-0.262467,-0.1442647,-0.2663543,0.0766489,0.70563502,0.08120653,0.0771818
group33_v5_10,P_HP,0.205452,0.320557,0.07267769,-0.1996592,0.29578982,-0.0906683,-1.0032774,0.13417054
group33_v5_10,Q_HP,0.243967,0.317269,-0.0126044,-0.1806035,0.26720623,0.49487245,-0.5964488,0.10859882
group33_v5_10,U_Ne,0.129812,-0.230285,0.00729464,-0.1996592,0.21956689,0.06688203,-0.9032921,0.10545082
group33_v5_10,V_Ne,0.088703,-0.246889,0.02297563,-0.1996592,0.30531769,0.24414115,-0.6397391,0.12033372
group33_v5_10,W_HN,-0.334685,0.08787,0.11568774,-0.1615478,0.34342916,-0.2465267,-0.2591337,0.11863858
group33_v5_11,A1_LP,0.165528,-0.290194,-0.0015068,-0.1197769,0.08435713,0.13189346,-0.5568587,0.04204583
group33_v5_11,A2_LP,0.197676,-0.09135,-0.0571167,-0.1325143,0.02110297,0.09135513,0.43481204,0.03097884
group33_v5_11,A3_LP,0.140814,0.370231,0.01383266,-0.0873327,0.09339344,-0.2712399,-0.6710529,0.04412957
group33_v5_11,A4_LP,0.199926,-0.100707,-0.0741713,-0.2048048,0.0572482,-0.1058238,-0.6911425,0.06890563
group33_v5_11,A_HN,-0.271656,0.164521,-0.0519126,-0.1776958,0.02110297,-0.6209293,-0.0090918,0.04449755
group33_v5_11,B_HN,-0.309996,0.303655,-0.1142192,-0.1686595,-0.0150423,0.67406221,-0.2114074,0.03386654
group33_v5_11,C_LN,-0.139104,-0.445052,-0.1105588,-0.2228774,-0.0150423,-0.3001711,-0.3557652,0.04370023
group33_v5_11,F_HN,-0.134496,0.500889,-0.0692335,-0.24095,0.06628451,-0.0348044,-1.3320774,0.09117155
group33_v5_11,G_HP,0.16065,0.477573,-0.0510876,-0.1505869,0.07532082,0.52077326,-0.3790946,0.05049157
group33_v5_11,H_HP,0.1818,0.536095,-0.0848792,-0.1686595,0.01206666,-0.1240259,-0.4533712,0.03631829
group33_v5_11,J_Ne,0.062964,-0.436078,-0.0084633,-0.1686595,0.06628451,-1.0621156,0.72569996,0.05250924
group33_v5_11,K_Ne,0.045054,-0.499355,-0.1241232,-0.2048048,-0.0511875,-0.2612498,-1.2919103,0.04600867
group33_v5_11,M_LN,-0.185526,-0.276657,-0.0303416,-0.1325143,0.06628451,-0.2625008,-0.2082823,0.04242013
group33_v5_11,N_LN,-0.214956,-0.1906,-0.0392117,-0.1505869,0.03013928,-1.1420498,1.71403985,0.03413134
group33_v5_11,O_LN,-0.157698,-0.431629,-0.0833136,-0.1867322,0.02110297,0.29694256,-0.486429,0.04501898
group33_v5_11,P_HP,0.159678,0.527159,-0.0303542,-0.1325143,0.06628451,-0.3072346,-0.3022949,0.04366257
group33_v5_11,Q_HP,0.189612,0.521752,-0.0316377,-0.1054054,0.06628451,0.36419814,-1.0349668,0.0435051
group33_v5_11,U_Ne,0.10089,-0.378706,-0.0723405,-0.2319137,0.03917559,-0.8503985,0.36831903,0.06017993
group33_v5_11,V_Ne,0.06894,-0.406011,-0.0342214,-0.1152888,0.07532082,0.37916143,-0.3368578,0.03811693
group33_v5_11,W_HN,-0.260118,0.144503,-0.1158509,-0.1867322,-0.0331149,0.0767015,-0.1333326,0.02786212
group33_v5_12,A1_LP,0.175184,-0.207184,0.02518417,-0.1781975,0.28348931,0.3583849,0.32988381,0.08285221
group33_v5_12,A2_LP,0.209207,-0.065219,-0.031007,-0.2613011,0.1265158,-0.6457918,0.00601259,0.08312027
group33_v5_12,A3_LP,0.149028,0.264327,0.05173114,-0.1781975,0.2557881,-0.4869864,-0.4167683,0.09921687
group33_v5_12,A4_LP,0.211588,-0.0719,-0.0307023,-0.2428336,0.17268448,-0.1364864,-0.9657966,0.10892834
group33_v5_12,A_HN,-0.287503,0.11746,0.02209073,-0.2428336,0.2280869,-0.4953801,-1.1273403,0.14492867
group33_v5_12,B_HN,-0.328079,0.216795,-0.0348425,-0.2335999,0.19115195,-0.1396705,-1.216797,0.10364706
group33_v5_12,C_LN,-0.147218,-0.317745,0.04203916,-0.2243662,0.28348931,-0.5825411,0.1508751,0.09846852
group33_v5_12,F_HN,-0.142342,0.35761,0.03028609,-0.15973,0.24655437,0.22991458,-1.0507175,0.11248074
group33_v5_12,G_HP,0.170021,0.340963,-0.0186162,-0.2520674,0.13574954,-0.8957141,1.52116431,0.06951754
group33_v5_12,H_HP,0.192405,0.382745,0.01500919,-0.0581589,0.08958086,-0.0211162,-0.3047807,0.0302894
